batch size,learning rate,epoch 0 EM,epoch 0 F1,epoch 1 EM,epoch 1 F1,epoch 2 EM,epoch 2 F1
8,0.0003,32.82876064,46.04891319,37.43614002,51.11442197,39.15799432,52.50002542
8,0.0001,34.90066225,47.51697475,37.90917692,50.69537876,39.3755913,52.14813577
64,0.0003,33.40586566,46.13950709,38.16461684,50.73596701,38.60927152,51.25789133
32,0.0003,33.77483444,46.34411018,37.54020814,50.28869019,38.58088931,51.12990904
16,0.0001,34.09649953,46.4944819,37.63481552,50.18448526,38.37275307,50.89922872
16,0.0003,33.8410596,46.65497035,36.56575213,49.52739197,37.97540208,50.66584018
8,0.0005,30.09460738,43.88918569,34.59791864,48.46215021,36.30085147,50.45256428
128,0.0003,32.56385998,45.2437695,36.53736991,49.53205436,37.62535478,50.44317944
32,0.0001,31.89214759,44.31233716,36.5846736,48.95006083,37.03878903,49.62218928
8,5.00E-05,32.16650899,44.62719876,35.43992431,47.90621927,36.91579943,49.56490374
16,5.00E-05,29.99053926,42.12712879,34.53169347,46.68182623,35.4115421,47.7540153
64,0.0001,29.66887417,41.98621275,34.05865658,46.4635181,35.15610218,47.65997478
8,3.00E-05,28.40113529,40.21698189,33.18826868,45.5312886,34.75875118,46.98192552
32,5.00E-05,27.29422895,39.30645606,32.59224219,44.81352147,33.67076632,45.96269084
128,0.0001,25.65752129,37.90110121,31.24881741,43.64350627,33.13150426,45.52718528
16,3.00E-05,26.02649007,37.93226554,31.19205298,43.50705515,32.72469253,44.97013365
8,2.00E-05,25.2128666,36.95791448,29.82970672,41.99564184,32.03405866,44.17269148
64,5.00E-05,24.27625355,36.2054446,29.73509934,41.87716863,31.30558184,43.4492838
32,3.00E-05,23.35856197,34.97841878,28.13623463,40.07095116,29.74456008,41.83047847
16,2.00E-05,22.90444655,34.3521736,27.47398297,39.47136926,29.41343425,41.51587241
128,5.00E-05,17.75780511,29.96050941,25.08041627,36.93622142,26.9820246,38.90879552
8,0.001,17.42667928,31.16972075,22.47871334,36.98847779,23.67076632,38.47856114
64,3.00E-05,17.11447493,29.15728105,24.22894986,35.86858679,25.43992431,37.22279108
32,2.00E-05,17.91863765,29.5818196,23.61400189,35.25891209,25.10879849,36.78294879
64,2.00E-05,6.234626301,15.62347931,18.54304636,30.43199624,20.75685904,32.38111678
128,3.00E-05,4.976348155,13.63527643,17.41721854,29.63317747,19.87701041,31.85866072
128,2.00E-05,3.02743614,11.40290128,5.979186377,15.26139883,8.467360454,19.01004376
8,0.003,0.908230842,5.334377875,2.355723746,4.803797163,2.194891202,5.113435898
